"path","PhysicalPath","applicationPool","enabledProtocols","ItemXPath"
"/payment","C:\ETRANPROCESSING\payment","etranprocessing.ru","http","/system.applicationHost/sites/site[@name='etranprocessing.ru' and @id='2']/application[@path='/payment']"
"/Certificates","C:\ETRANPROCESSING\Certificates","Admin2.0","http","/system.applicationHost/sites/site[@name='etranprocessing.ru' and @id='2']/application[@path='/Certificates']"
"/DNL","C:\ETRANPROCESSING\DNL","Admin2.0","http","/system.applicationHost/sites/site[@name='etranprocessing.ru' and @id='2']/application[@path='/DNL']"
"/VTerminal","C:\ETRANPROCESSING\VTerminal","etranprocessing.ru","http","/system.applicationHost/sites/site[@name='etranprocessing.ru' and @id='2']/application[@path='/VTerminal']"
"/GateGauge","C:\ETRANPROCESSING\GateGauge",".NET v4.5","http","/system.applicationHost/sites/site[@name='etranprocessing.ru' and @id='2']/application[@path='/GateGauge']"
"/Documents","C:\ETRANPROCESSING\Documents","Admin2.0","http","/system.applicationHost/sites/site[@name='etranprocessing.ru' and @id='2']/application[@path='/Documents']"
"/OsmpDispatcher","C:\ETRANPROCESSING\OsmpDispatcher","etranprocessing.ru","http","/system.applicationHost/sites/site[@name='etranprocessing.ru' and @id='2']/application[@path='/OsmpDispatcher']"
"/TechGate","C:\ETRANPROCESSING\TechGate","DefaultAppPool","http","/system.applicationHost/sites/site[@name='etranprocessing.ru' and @id='2']/application[@path='/TechGate']"
"/UpdateService","C:\ETRANPROCESSING\UpdateService","etranprocessing.ru","http","/system.applicationHost/sites/site[@name='etranprocessing.ru' and @id='2']/application[@path='/UpdateService']"
"/XML_FMSLoanPays","C:\ETRANPROCESSING\XML_FMSLoanPays","etranprocessing.ru","http","/system.applicationHost/sites/site[@name='etranprocessing.ru' and @id='2']/application[@path='/XML_FMSLoanPays']"
"/XML_FMSPenaltyPays","C:\ETRANPROCESSING\XML_FMSPenaltyPays","etranprocessing.ru","http","/system.applicationHost/sites/site[@name='etranprocessing.ru' and @id='2']/application[@path='/XML_FMSPenaltyPays']"
"/XML_FMSServicePays","C:\ETRANPROCESSING\XML_FMSServicePays","etranprocessing.ru","http","/system.applicationHost/sites/site[@name='etranprocessing.ru' and @id='2']/application[@path='/XML_FMSServicePays']"
"/XML_GIBDDPenaltyMiscPays","C:\ETRANPROCESSING\XML_GIBDDPenaltyMiscPays","etranprocessing.ru","http","/system.applicationHost/sites/site[@name='etranprocessing.ru' and @id='2']/application[@path='/XML_GIBDDPenaltyMiscPays']"
"/XML_GIBDDPenaltyPays","C:\ETRANPROCESSING\XML_GIBDDPenaltyPays","etranprocessing.ru","http","/system.applicationHost/sites/site[@name='etranprocessing.ru' and @id='2']/application[@path='/XML_GIBDDPenaltyPays']"
"/XML_GIBDDServicePays","C:\ETRANPROCESSING\XML_GIBDDServicePays","etranprocessing.ru","http","/system.applicationHost/sites/site[@name='etranprocessing.ru' and @id='2']/application[@path='/XML_GIBDDServicePays']"
"/XML_GIBDDTechnicalInspectionPays2","C:\ETRANPROCESSING\XML_GIBDDTechnicalInspectionPays2","etranprocessing.ru","http","/system.applicationHost/sites/site[@name='etranprocessing.ru' and @id='2']/application[@path='/XML_GIBDDTechnicalInspectionPays2']"
"/XML_GibddTollage","C:\ETRANPROCESSING\XML_GibddTollage","etranprocessing.ru","http","/system.applicationHost/sites/site[@name='etranprocessing.ru' and @id='2']/application[@path='/XML_GibddTollage']"
"/XML_RosReestr","C:\ETRANPROCESSING\XML_RosReestr","etranprocessing.ru","http","/system.applicationHost/sites/site[@name='etranprocessing.ru' and @id='2']/application[@path='/XML_RosReestr']"
"/XML_RyazanEducation","C:\ETRANPROCESSING\XML_RyazanEducation","etranprocessing.ru","http","/system.applicationHost/sites/site[@name='etranprocessing.ru' and @id='2']/application[@path='/XML_RyazanEducation']"
"/XML_RyazanService","C:\ETRANPROCESSING\XML_RyazanService","etranprocessing.ru","http","/system.applicationHost/sites/site[@name='etranprocessing.ru' and @id='2']/application[@path='/XML_RyazanService']"
