"Name","State","ManagedRuntimeVersion","ManagedPipelineMode","AutoStart","StartMode","QueueLength","Enable32BitAppOnWin64","ProcessModelIdentity","IdleTimeoutMinutes","MaxProcesses","LoadUserProfile","RecyclingPeriodicMins"
".NET v2.0","Started","v2.0","Integrated","True","OnDemand","1000","False","ApplicationPoolIdentity","20","1","False","1740"
".NET v2.0 Classic","Started","v2.0","Classic","True","OnDemand","1000","False","ApplicationPoolIdentity","20","1","False","1740"
".NET v4.5","Started","v4.0","Integrated","True","OnDemand","1000","False","ApplicationPoolIdentity","20","1","False","1740"
".NET v4.5 Classic","Started","v4.0","Classic","True","OnDemand","1000","False","ApplicationPoolIdentity","20","1","False","1740"
"Admin2.0","Started","v2.0","Integrated","True","OnDemand","1000","True","SpecificUser","20","1","False","1740"
"Admin4.0","Started","v4.0","Integrated","True","OnDemand","1000","False","SpecificUser","20","1","False","1740"
"Classic .NET AppPool","Started","v2.0","Classic","True","OnDemand","1000","False","ApplicationPoolIdentity","20","1","False","1740"
"DefaultAppPool","Started","v4.0","Integrated","True","OnDemand","1000","False","ApplicationPoolIdentity","20","1","False","1740"
"ETRANPROCESSING.LOCAL","Started","v4.0","Integrated","True","OnDemand","1000","False","ApplicationPoolIdentity","20","1","False","1740"
"etranprocessing.ru","Started","v4.0","Integrated","True","OnDemand","1000","False","ApplicationPoolIdentity","20","1","False","1740"
"NetCore","Started","","Integrated","True","OnDemand","1000","False","ApplicationPoolIdentity","20","1","False","1740"
"NetCore2","Started","","Integrated","True","OnDemand","1000","False","ApplicationPoolIdentity","20","1","False","1740"
"T","Started","v4.0","Integrated","True","OnDemand","1000","False","ApplicationPoolIdentity","20","1","False","1740"
