"StorePath","Subject","Issuer","Thumbprint","FriendlyName","NotBefore","NotAfter","HasPrivateKey","SignatureAlgorithm","PublicKeyAlgorithm","SerialNumber","SubjectAltName"
"Cert:\LocalMachine\My","CN=etranprocessing.ru, OU=it, O=platerra, L=Moscow, S=msk, C=RU","CN=certsrv, DC=corepay, DC=local","B55A3FC17420FA4A8FCE635F0FEC8E44035C0933","etranprocessing.ru","05.07.2017 13:32:14","05.07.2019 13:32:14","True","sha1RSA","RSA","66E5C939000200001FD7",
"Cert:\LocalMachine\My","E=root@localhost, OU=umarsh, O=umarsh, CN=1, L=spb, C=RU","E=root@localhost, OU=umarsh, O=umarsh, CN=1, L=spb, C=RU","480BE0F7F6C6FF129AA5320BE215FE4F82A7269B","","26.01.2022 15:32:13","26.01.2023 15:32:13","True","sha1RSA","RSA","00872190D43F82D79E",
"Cert:\LocalMachine\CA","CN=Root Agency","CN=Root Agency","FEE449EE0E3965A5246F000E87FDE2A065FD89D4","","29.05.1996 2:02:59","01.01.2040 2:59:59","False","md5RSA","RSA","06376C00AA00648A11CFB8D4AA5C35F4",
"Cert:\LocalMachine\CA","OU=www.verisign.com/CPS Incorp.by Ref. LIABILITY LTD.(c)97 VeriSign, OU=VeriSign International Server CA - Class 3, OU=""VeriSign, Inc."", O=VeriSign Trust Network","OU=Class 3 Public Primary Certification Authority, O=""VeriSign, Inc."", C=US","D559A586669B08F46A30A133F8A9ED3D038E2EA8","","17.04.1997 4:00:00","25.10.2016 2:59:59","False","sha1RSA","RSA","46FCEBBAB4D02F0F926098233F93078F",
"Cert:\LocalMachine\CA","CN=Microsoft Windows Hardware Compatibility, OU=Microsoft Corporation, OU=Microsoft Windows Hardware Compatibility Intermediate CA, OU=Copyright (c) 1997 Microsoft Corp.","CN=Microsoft Root Authority, OU=Microsoft Corporation, OU=Copyright (c) 1997 Microsoft Corp.","109F1CAED645BB78B3EA2B94C0697C740733031C","","01.10.1997 11:00:00","31.12.2002 10:00:00","False","md5RSA","RSA","198B11D13F9A8FFE69A0",
"Cert:\LocalMachine\CA","CN=root-ca, DC=corepay, DC=local","CN=root-ca, DC=corepay, DC=local","A99BF4A05D332E6305FD7C7BA1CEA1F7D4E7EDE9","","07.04.2006 15:16:44","07.04.2011 15:24:40","False","sha1RSA","RSA","79C30BFE22CB6DBC461F20F06D49E363",
"Cert:\LocalMachine\CA","CN=certsrv, DC=corepay, DC=local","CN=certsrv, DC=corepay, DC=local","8999B21D1DBD3F135A1797CAD4A27589C7932850","","12.04.2006 14:42:00","12.03.2030 14:51:27","False","sha1RSA","RSA","04B81194443C96924FA7BF2724D5BF5A",
"Cert:\LocalMachine\Root","CN=Microsoft Root Certificate Authority, DC=microsoft, DC=com","CN=Microsoft Root Certificate Authority, DC=microsoft, DC=com","CDD4EEAE6000AC7F40C3802C171E30148030C072","Microsoft Root Certificate Authority","10.05.2001 3:19:22","10.05.2021 2:28:13","False","sha1RSA","RSA","79AD16A14AA0A5AD4C7358F407132E65",
"Cert:\LocalMachine\Root","CN=Thawte Timestamping CA, OU=Thawte Certification, O=Thawte, L=Durbanville, S=Western Cape, C=ZA","CN=Thawte Timestamping CA, OU=Thawte Certification, O=Thawte, L=Durbanville, S=Western Cape, C=ZA","BE36A4562FB2EE05DBB3D32323ADF445084ED656","Thawte Timestamping CA","01.01.1997 3:00:00","01.01.2021 2:59:59","False","md5RSA","RSA","00",
"Cert:\LocalMachine\Root","CN=Microsoft Root Authority, OU=Microsoft Corporation, OU=Copyright (c) 1997 Microsoft Corp.","CN=Microsoft Root Authority, OU=Microsoft Corporation, OU=Copyright (c) 1997 Microsoft Corp.","A43489159A520F0D93D032CCAF37E7FE20A8B419","Microsoft Root Authority","10.01.1997 10:00:00","31.12.2020 10:00:00","False","md5RSA","RSA","00C1008B3C3C8811D13EF663ECDF40",
"Cert:\LocalMachine\Root","CN=Microsoft Root Certificate Authority 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Root Certificate Authority 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","8F43288AD272F3103B6FB1428485EA3014C0BCFE","Microsoft Root Certificate Authority 2011","23.03.2011 1:05:28","23.03.2036 1:13:04","False","sha256RSA","RSA","3F8BC8B5FC9FB29643B569D66C42E144",
"Cert:\LocalMachine\Root","CN=Microsoft Authenticode(tm) Root Authority, O=MSFT, C=US","CN=Microsoft Authenticode(tm) Root Authority, O=MSFT, C=US","7F88CD7223F3C813818C994614A89C99FA3B5247","Microsoft Authenticode(tm) Root","01.01.1995 11:00:01","01.01.2000 2:59:59","False","md5RSA","RSA","01",
"Cert:\LocalMachine\Root","CN=Microsoft Root Certificate Authority 2010, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Root Certificate Authority 2010, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","3B1EFD3A66EA28B16697394703A72CA340A05BD5","Microsoft Root Certificate Authority 2010","24.06.2010 1:57:24","24.06.2035 1:04:01","False","sha256RSA","RSA","28CC3A25BFBA44AC449A9B586B4339AA",
"Cert:\LocalMachine\Root","OU=Copyright (c) 1997 Microsoft Corp., OU=Microsoft Time Stamping Service Root, OU=Microsoft Corporation, O=Microsoft Trust Network","OU=Copyright (c) 1997 Microsoft Corp., OU=Microsoft Time Stamping Service Root, OU=Microsoft Corporation, O=Microsoft Trust Network","245C97DF7514E7CF2DF8BE72AE957B9E04741E85","Microsoft Timestamp Root","13.05.1997 20:12:59","31.12.1999 2:59:59","False","md5RSA","RSA","01",
